held_out_run,classifier,n_train,n_test,train_left,train_right,test_left,test_right,accuracy,tn_left_correct,fp_left_as_right,fn_right_as_left,tp_right_correct,subject_id
R04,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S001
R08,svm,30,15,15,15,8,7,0.6666666666666666,6,2,3,4,S001
R12,svm,30,15,16,14,7,8,0.6666666666666666,6,1,4,4,S001
R04,svm,30,15,16,14,7,8,0.9333333333333333,6,1,0,8,S002
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S002
R12,svm,30,15,15,15,8,7,0.8666666666666667,8,0,2,5,S002
R04,svm,30,15,15,15,8,7,0.6,5,3,3,4,S003
R08,svm,30,15,16,14,7,8,0.5333333333333333,7,0,7,1,S003
R12,svm,30,15,15,15,8,7,0.4666666666666667,2,6,2,5,S003
R04,svm,30,15,15,15,8,7,0.5333333333333333,8,0,7,0,S004
R08,svm,30,15,16,14,7,8,0.6,7,0,6,2,S004
R12,svm,30,15,15,15,8,7,0.4666666666666667,1,7,1,6,S004
R04,svm,30,15,14,16,7,8,0.5333333333333333,1,6,1,7,S005
R08,svm,30,15,14,16,7,8,0.6666666666666666,6,1,4,4,S005
R12,svm,30,15,14,16,7,8,0.4666666666666667,4,3,5,3,S005
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S006
R08,svm,30,15,16,14,8,7,0.4666666666666667,6,2,6,1,S006
R12,svm,30,15,16,14,8,7,0.5333333333333333,5,3,4,3,S006
R04,svm,30,15,15,15,8,7,1.0,8,0,0,7,S007
R08,svm,30,15,15,15,8,7,0.9333333333333333,7,1,0,7,S007
R12,svm,30,15,16,14,7,8,1.0,7,0,0,8,S007
R04,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S008
R08,svm,30,15,15,15,7,8,0.6,6,1,5,3,S008
R12,svm,30,15,14,16,8,7,0.4666666666666667,2,6,2,5,S008
R04,svm,30,15,16,14,8,7,0.4666666666666667,0,8,0,7,S009
R08,svm,30,15,16,14,8,7,0.4666666666666667,0,8,0,7,S009
R12,svm,30,15,16,14,8,7,0.4,3,5,4,3,S009
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S010
R08,svm,30,15,16,14,8,7,0.7333333333333333,6,2,2,5,S010
R12,svm,30,15,16,14,8,7,0.4666666666666667,2,6,2,5,S010
R04,svm,30,15,15,15,8,7,0.4666666666666667,7,1,7,0,S011
R08,svm,30,15,16,14,7,8,0.5333333333333333,6,1,6,2,S011
R12,svm,30,15,15,15,8,7,0.7333333333333333,5,3,1,6,S011
R04,svm,30,15,14,16,7,8,0.5333333333333333,0,7,0,8,S012
R08,svm,30,15,14,16,7,8,0.5333333333333333,4,3,4,4,S012
R12,svm,30,15,14,16,7,8,0.7333333333333333,3,4,0,8,S012
R04,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S013
R08,svm,30,15,15,15,8,7,0.7333333333333333,7,1,3,4,S013
R12,svm,30,15,16,14,7,8,0.4666666666666667,7,0,8,0,S013
R04,svm,30,15,15,15,7,8,0.6,7,0,6,2,S014
R08,svm,30,15,15,15,7,8,0.6,1,6,0,8,S014
R12,svm,30,15,14,16,8,7,0.6,3,5,1,6,S014
R04,svm,30,15,16,14,7,8,0.5333333333333333,0,7,0,8,S015
R08,svm,30,15,15,15,8,7,0.5333333333333333,3,5,2,5,S015
R12,svm,30,15,15,15,8,7,0.8,7,1,2,5,S015
R04,svm,30,15,15,15,7,8,0.6,4,3,3,5,S016
R08,svm,30,15,14,16,8,7,0.6,5,3,3,4,S016
R12,svm,30,15,15,15,7,8,0.6666666666666666,4,3,2,6,S016
R04,svm,30,15,16,14,7,8,0.4,6,1,8,0,S017
R08,svm,30,15,15,15,8,7,0.5333333333333333,6,2,5,2,S017
R12,svm,30,15,15,15,8,7,0.6,5,3,3,4,S017
R04,svm,30,15,15,15,7,8,0.4,0,7,2,6,S018
R08,svm,30,15,14,16,8,7,0.4,3,5,4,3,S018
R12,svm,30,15,15,15,7,8,0.4666666666666667,6,1,7,1,S018
R04,svm,30,15,15,15,8,7,0.4666666666666667,7,1,7,0,S019
R08,svm,30,15,15,15,8,7,0.4666666666666667,3,5,3,4,S019
R12,svm,30,15,16,14,7,8,0.4,3,4,5,3,S019
R04,svm,30,15,16,14,7,8,0.5333333333333333,4,3,4,4,S020
R08,svm,30,15,15,15,8,7,0.6666666666666666,4,4,1,6,S020
R12,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S020
R04,svm,30,15,16,14,8,7,0.4666666666666667,4,4,4,3,S021
R08,svm,30,15,16,14,8,7,0.4,6,2,7,0,S021
R12,svm,30,15,16,14,8,7,0.4666666666666667,7,1,7,0,S021
R04,svm,30,15,15,15,7,8,0.7333333333333333,7,0,4,4,S022
R08,svm,30,15,14,16,8,7,0.7333333333333333,5,3,1,6,S022
R12,svm,30,15,15,15,7,8,0.7333333333333333,3,4,0,8,S022
R04,svm,30,15,14,16,8,7,0.6,8,0,6,1,S023
R08,svm,30,15,15,15,7,8,0.4666666666666667,3,4,4,4,S023
R12,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S023
R04,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S024
R08,svm,30,15,15,15,7,8,0.4666666666666667,7,0,8,0,S024
R12,svm,30,15,14,16,8,7,0.7333333333333333,5,3,1,6,S024
R04,svm,30,15,15,15,7,8,0.6,6,1,5,3,S025
R08,svm,30,15,15,15,7,8,0.6666666666666666,3,4,1,7,S025
R12,svm,30,15,14,16,8,7,0.6,5,3,3,4,S025
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S026
R08,svm,30,15,16,14,8,7,0.8666666666666667,6,2,0,7,S026
R12,svm,30,15,16,14,8,7,0.7333333333333333,8,0,4,3,S026
R04,svm,30,15,15,15,8,7,0.8,6,2,1,6,S027
R08,svm,30,15,16,14,7,8,0.6,5,2,4,4,S027
R12,svm,30,15,15,15,8,7,0.7333333333333333,7,1,3,4,S027
R04,svm,30,15,14,16,8,7,0.5333333333333333,1,7,0,7,S028
R08,svm,30,15,15,15,7,8,0.4,4,3,6,2,S028
R12,svm,30,15,15,15,7,8,0.4666666666666667,3,4,4,4,S028
R04,svm,30,15,15,15,8,7,1.0,8,0,0,7,S029
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S029
R12,svm,30,15,16,14,7,8,1.0,7,0,0,8,S029
R04,svm,30,15,16,14,8,7,0.4,3,5,4,3,S030
R08,svm,30,15,16,14,8,7,0.6,8,0,6,1,S030
R12,svm,30,15,16,14,8,7,0.4666666666666667,6,2,6,1,S030
R04,svm,30,15,14,16,8,7,0.8,6,2,1,6,S031
R08,svm,30,15,15,15,7,8,0.9333333333333333,6,1,0,8,S031
R12,svm,30,15,15,15,7,8,0.8666666666666667,5,2,0,8,S031
R04,svm,30,15,14,16,7,8,0.6666666666666666,4,3,2,6,S032
R08,svm,30,15,14,16,7,8,0.6,3,4,2,6,S032
R12,svm,30,15,14,16,7,8,0.8,5,2,1,7,S032
R04,svm,30,15,15,15,8,7,0.7333333333333333,6,2,2,5,S033
R08,svm,30,15,15,15,8,7,0.6,6,2,4,3,S033
R12,svm,30,15,16,14,7,8,0.8,5,2,1,7,S033
R04,svm,28,15,14,14,7,8,0.9333333333333333,6,1,0,8,S034
R08,svm,29,14,14,15,7,7,0.9285714285714286,6,1,0,7,S034
R12,svm,29,14,14,15,7,7,0.8571428571428571,6,1,1,6,S034
R04,svm,30,15,14,16,8,7,0.7333333333333333,5,3,1,6,S035
R08,svm,30,15,15,15,7,8,0.8,4,3,0,8,S035
R12,svm,30,15,15,15,7,8,0.8,4,3,0,8,S035
R04,svm,30,15,15,15,8,7,0.4666666666666667,1,7,1,6,S036
R08,svm,30,15,16,14,7,8,0.5333333333333333,5,2,5,3,S036
R12,svm,30,15,15,15,8,7,0.3333333333333333,2,6,4,3,S036
R04,svm,28,15,14,14,8,7,0.4666666666666667,0,8,0,7,S037
R08,svm,29,14,15,14,7,7,0.5,7,0,7,0,S037
R12,svm,29,14,15,14,7,7,0.5,6,1,6,1,S037
R04,svm,30,15,15,15,8,7,0.6,2,6,0,7,S038
R08,svm,30,15,15,15,8,7,0.6666666666666666,8,0,5,2,S038
R12,svm,30,15,16,14,7,8,0.5333333333333333,7,0,7,1,S038
R04,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S039
R08,svm,30,15,15,15,8,7,0.6666666666666666,7,1,4,3,S039
R12,svm,30,15,16,14,7,8,0.5333333333333333,7,0,7,1,S039
R04,svm,30,15,14,16,7,8,0.5333333333333333,0,7,0,8,S040
R08,svm,30,15,14,16,7,8,0.6,2,5,1,7,S040
R12,svm,30,15,14,16,7,8,0.6,4,3,3,5,S040
R04,svm,29,15,15,14,8,7,0.5333333333333333,8,0,7,0,S041
R08,svm,30,14,16,14,7,7,0.5,5,2,5,2,S041
R12,svm,29,15,15,14,8,7,0.4666666666666667,2,6,2,5,S041
R04,svm,30,15,15,15,7,8,0.7333333333333333,3,4,0,8,S042
R08,svm,30,15,14,16,8,7,1.0,8,0,0,7,S042
R12,svm,30,15,15,15,7,8,0.5333333333333333,7,0,7,1,S042
R04,svm,30,15,15,15,8,7,0.6,3,5,1,6,S043
R08,svm,30,15,16,14,7,8,0.5333333333333333,3,4,3,5,S043
R12,svm,30,15,15,15,8,7,0.9333333333333333,7,1,0,7,S043
R04,svm,30,15,15,15,7,8,0.6,3,4,2,6,S044
R08,svm,30,15,15,15,7,8,0.4666666666666667,4,3,5,3,S044
R12,svm,30,15,14,16,8,7,0.6,3,5,1,6,S044
R04,svm,30,15,15,15,8,7,0.6,3,5,1,6,S045
R08,svm,30,15,15,15,8,7,0.7333333333333333,4,4,0,7,S045
R12,svm,30,15,16,14,7,8,0.8,6,1,2,6,S045
R04,svm,30,15,15,15,8,7,0.6,4,4,2,5,S046
R08,svm,30,15,16,14,7,8,0.4,5,2,7,1,S046
R12,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S046
R04,svm,30,15,16,14,8,7,0.6,5,3,3,4,S047
R08,svm,30,15,16,14,8,7,0.5333333333333333,7,1,6,1,S047
R12,svm,30,15,16,14,8,7,0.5333333333333333,4,4,3,4,S047
R04,svm,30,15,14,16,8,7,0.6666666666666666,4,4,1,6,S048
R08,svm,30,15,15,15,7,8,0.6666666666666666,7,0,5,3,S048
R12,svm,30,15,15,15,7,8,0.6,6,1,5,3,S048
R04,svm,30,15,16,14,7,8,0.6666666666666666,7,0,5,3,S049
R08,svm,30,15,15,15,8,7,0.6666666666666666,3,5,0,7,S049
R12,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S049
R04,svm,30,15,16,14,7,8,0.7333333333333333,5,2,2,6,S050
R08,svm,30,15,15,15,8,7,0.4666666666666667,6,2,6,1,S050
R12,svm,30,15,15,15,8,7,0.6,5,3,3,4,S050
R04,svm,30,15,16,14,8,7,0.6,2,6,0,7,S051
R08,svm,30,15,16,14,8,7,0.7333333333333333,6,2,2,5,S051
R12,svm,30,15,16,14,8,7,0.6,8,0,6,1,S051
R04,svm,30,15,16,14,8,7,0.7333333333333333,7,1,3,4,S052
R08,svm,30,15,16,14,8,7,0.7333333333333333,7,1,3,4,S052
R12,svm,30,15,16,14,8,7,0.7333333333333333,5,3,1,6,S052
R04,svm,30,15,15,15,7,8,0.8,4,3,0,8,S053
R08,svm,30,15,15,15,7,8,0.9333333333333333,6,1,0,8,S053
R12,svm,30,15,14,16,8,7,1.0,8,0,0,7,S053
R04,svm,30,15,15,15,8,7,0.7333333333333333,8,0,4,3,S054
R08,svm,30,15,16,14,7,8,0.6666666666666666,4,3,2,6,S054
R12,svm,30,15,15,15,8,7,0.8,7,1,2,5,S054
R04,svm,30,15,15,15,8,7,0.6666666666666666,8,0,5,2,S055
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S055
R12,svm,30,15,16,14,7,8,0.8,4,3,0,8,S055
R04,svm,30,15,15,15,7,8,0.9333333333333333,6,1,0,8,S056
R08,svm,30,15,15,15,7,8,1.0,7,0,0,8,S056
R12,svm,30,15,14,16,8,7,0.6666666666666666,3,5,0,7,S056
R04,svm,30,15,16,14,8,7,0.4666666666666667,7,1,7,0,S057
R08,svm,30,15,16,14,8,7,0.5333333333333333,5,3,4,3,S057
R12,svm,30,15,16,14,8,7,0.5333333333333333,6,2,5,2,S057
R04,svm,30,15,16,14,8,7,0.6,2,6,0,7,S058
R08,svm,30,15,16,14,8,7,0.4,1,7,2,5,S058
R12,svm,30,15,16,14,8,7,0.6666666666666666,7,1,4,3,S058
R04,svm,30,15,16,14,8,7,0.4666666666666667,7,1,7,0,S059
R08,svm,30,15,16,14,8,7,0.5333333333333333,6,2,5,2,S059
R12,svm,30,15,16,14,8,7,0.4,2,6,3,4,S059
R04,svm,30,15,16,14,7,8,0.8,4,3,0,8,S060
R08,svm,30,15,15,15,8,7,0.7333333333333333,7,1,3,4,S060
R12,svm,30,15,15,15,8,7,0.9333333333333333,8,0,1,6,S060
R04,svm,30,15,15,15,7,8,0.5333333333333333,4,3,4,4,S061
R08,svm,30,15,14,16,8,7,0.8,7,1,2,5,S061
R12,svm,30,15,15,15,7,8,0.7333333333333333,3,4,0,8,S061
R04,svm,30,15,16,14,7,8,1.0,7,0,0,8,S062
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S062
R12,svm,30,15,15,15,8,7,0.7333333333333333,8,0,4,3,S062
R04,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S063
R08,svm,30,15,15,15,7,8,0.6666666666666666,4,3,2,6,S063
R12,svm,30,15,14,16,8,7,0.6666666666666666,3,5,0,7,S063
R04,svm,29,15,15,14,8,7,0.5333333333333333,8,0,7,0,S064
R08,svm,29,15,15,14,8,7,0.8,6,2,1,6,S064
R12,svm,30,14,16,14,7,7,0.5,6,1,6,1,S064
R04,svm,30,15,16,14,8,7,0.4666666666666667,4,4,4,3,S065
R08,svm,30,15,16,14,8,7,0.6666666666666666,6,2,3,4,S065
R12,svm,30,15,16,14,8,7,0.6666666666666666,5,3,2,5,S065
R04,svm,30,15,15,15,7,8,0.4666666666666667,1,6,2,6,S066
R08,svm,30,15,14,16,8,7,0.4666666666666667,5,3,5,2,S066
R12,svm,30,15,15,15,7,8,0.4666666666666667,4,3,5,3,S066
R04,svm,30,15,14,16,8,7,0.5333333333333333,1,7,0,7,S067
R08,svm,30,15,15,15,7,8,0.4666666666666667,3,4,4,4,S067
R12,svm,30,15,15,15,7,8,0.4,3,4,5,3,S067
R04,svm,30,15,14,16,8,7,0.4666666666666667,1,7,1,6,S068
R08,svm,30,15,15,15,7,8,0.6,4,3,3,5,S068
R12,svm,30,15,15,15,7,8,0.5333333333333333,3,4,3,5,S068
R04,svm,30,15,16,14,8,7,0.6,2,6,0,7,S069
R08,svm,30,15,16,14,8,7,0.6666666666666666,6,2,3,4,S069
R12,svm,30,15,16,14,8,7,0.7333333333333333,5,3,1,6,S069
R04,svm,30,15,15,15,7,8,0.6666666666666666,4,3,2,6,S070
R08,svm,30,15,14,16,8,7,0.5333333333333333,2,6,1,6,S070
R12,svm,30,15,15,15,7,8,0.7333333333333333,6,1,3,5,S070
R04,svm,30,15,14,16,8,7,0.5333333333333333,1,7,0,7,S071
R08,svm,30,15,15,15,7,8,0.8,7,0,3,5,S071
R12,svm,30,15,15,15,7,8,0.6666666666666666,7,0,5,3,S071
R04,svm,29,14,15,14,7,7,0.8571428571428571,7,0,2,5,S072
R08,svm,29,14,15,14,7,7,1.0,7,0,0,7,S072
R12,svm,28,15,14,14,8,7,1.0,8,0,0,7,S072
R04,svm,28,14,14,14,7,7,0.5,7,0,7,0,S073
R08,svm,28,14,14,14,7,7,0.35714285714285715,1,6,3,4,S073
R12,svm,28,14,14,14,7,7,0.6428571428571429,7,0,5,2,S073
R04,svm,28,15,14,14,8,7,0.6,8,0,6,1,S074
R08,svm,29,14,15,14,7,7,0.5714285714285714,2,5,1,6,S074
R12,svm,29,14,15,14,7,7,0.7142857142857143,4,3,1,6,S074
R04,svm,30,15,15,15,7,8,0.4666666666666667,2,5,3,5,S075
R08,svm,30,15,15,15,7,8,0.6,4,3,3,5,S075
R12,svm,30,15,14,16,8,7,0.8,5,3,0,7,S075
R04,svm,28,14,14,14,7,7,0.5,0,7,0,7,S076
R08,svm,28,14,14,14,7,7,0.5,2,5,2,5,S076
R12,svm,28,14,14,14,7,7,0.35714285714285715,0,7,2,5,S076
R04,svm,30,15,14,16,7,8,0.5333333333333333,0,7,0,8,S077
R08,svm,30,15,14,16,7,8,0.4666666666666667,2,5,3,5,S077
R12,svm,30,15,14,16,7,8,0.4666666666666667,5,2,6,2,S077
R04,svm,30,15,15,15,8,7,0.5333333333333333,2,6,1,6,S078
R08,svm,30,15,16,14,7,8,0.4666666666666667,4,3,5,3,S078
R12,svm,30,15,15,15,8,7,0.6666666666666666,7,1,4,3,S078
R04,svm,30,15,14,16,8,7,0.4666666666666667,0,8,0,7,S079
R08,svm,30,15,15,15,7,8,0.5333333333333333,1,6,1,7,S079
R12,svm,30,15,15,15,7,8,0.4666666666666667,1,6,2,6,S079
R04,svm,30,15,16,14,7,8,0.5333333333333333,6,1,6,2,S080
R08,svm,30,15,15,15,8,7,0.6,8,0,6,1,S080
R12,svm,30,15,15,15,8,7,0.6,5,3,3,4,S080
R04,svm,30,15,15,15,7,8,0.5333333333333333,6,1,6,2,S081
R08,svm,30,15,15,15,7,8,0.5333333333333333,5,2,5,3,S081
R12,svm,30,15,14,16,8,7,0.6,2,6,0,7,S081
R04,svm,30,15,15,15,8,7,0.5333333333333333,8,0,7,0,S082
R08,svm,30,15,16,14,7,8,0.4,6,1,8,0,S082
R12,svm,30,15,15,15,8,7,0.6,3,5,1,6,S082
R04,svm,30,15,14,16,8,7,0.7333333333333333,5,3,1,6,S083
R08,svm,30,15,15,15,7,8,0.4666666666666667,3,4,4,4,S083
R12,svm,30,15,15,15,7,8,0.5333333333333333,6,1,6,2,S083
R04,svm,30,15,15,15,8,7,0.6,8,0,6,1,S084
R08,svm,30,15,15,15,8,7,0.6,4,4,2,5,S084
R12,svm,30,15,16,14,7,8,0.5333333333333333,4,3,4,4,S084
R04,svm,30,15,15,15,8,7,0.9333333333333333,8,0,1,6,S085
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S085
R12,svm,30,15,16,14,7,8,0.9333333333333333,7,0,1,7,S085
R04,svm,30,15,14,16,8,7,0.4666666666666667,3,5,3,4,S086
R08,svm,30,15,15,15,7,8,0.6,1,6,0,8,S086
R12,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S086
R04,svm,30,15,14,16,8,7,0.7333333333333333,7,1,3,4,S087
R08,svm,30,15,15,15,7,8,0.3333333333333333,4,3,7,1,S087
R12,svm,30,15,15,15,7,8,0.6,4,3,3,5,S087
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S089
R08,svm,30,15,16,14,8,7,0.8,6,2,1,6,S089
R12,svm,30,15,16,14,8,7,0.7333333333333333,6,2,2,5,S089
R04,svm,30,15,15,15,7,8,0.6666666666666666,5,2,3,5,S090
R08,svm,30,15,15,15,7,8,0.5333333333333333,4,3,4,4,S090
R12,svm,30,15,14,16,8,7,0.4666666666666667,0,8,0,7,S090
R04,svm,30,15,14,16,8,7,0.4,0,8,1,6,S091
R08,svm,30,15,15,15,7,8,0.6666666666666666,6,1,4,4,S091
R12,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S091
R04,svm,30,15,15,15,8,7,0.7333333333333333,5,3,1,6,S093
R08,svm,30,15,15,15,8,7,0.8,5,3,0,7,S093
R12,svm,30,15,16,14,7,8,0.8,6,1,2,6,S093
R04,svm,30,15,15,15,7,8,0.8666666666666667,7,0,2,6,S094
R08,svm,30,15,15,15,7,8,0.9333333333333333,7,0,1,7,S094
R12,svm,30,15,14,16,8,7,0.7333333333333333,7,1,3,4,S094
R04,svm,30,15,16,14,7,8,0.5333333333333333,2,5,2,6,S095
R08,svm,30,15,15,15,8,7,0.6,6,2,4,3,S095
R12,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S095
R04,svm,30,15,16,14,7,8,0.5333333333333333,0,7,0,8,S096
R08,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S096
R12,svm,30,15,15,15,8,7,0.4,5,3,6,1,S096
R04,svm,30,15,15,15,8,7,0.6,2,6,0,7,S097
R08,svm,30,15,16,14,7,8,0.7333333333333333,6,1,3,5,S097
R12,svm,30,15,15,15,8,7,0.6,3,5,1,6,S097
R04,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S098
R08,svm,30,15,15,15,8,7,0.6666666666666666,6,2,3,4,S098
R12,svm,30,15,16,14,7,8,0.5333333333333333,0,7,0,8,S098
R04,svm,30,15,15,15,7,8,0.6,3,4,2,6,S099
R08,svm,30,15,14,16,8,7,0.6666666666666666,7,1,4,3,S099
R12,svm,30,15,15,15,7,8,0.5333333333333333,7,0,7,1,S099
R04,svm,30,15,14,16,8,7,0.4666666666666667,6,2,6,1,S101
R08,svm,30,15,15,15,7,8,0.4666666666666667,3,4,4,4,S101
R12,svm,30,15,15,15,7,8,0.5333333333333333,5,2,5,3,S101
R04,svm,28,14,14,14,7,7,0.42857142857142855,1,6,2,5,S102
R08,svm,28,14,14,14,7,7,0.42857142857142855,4,3,5,2,S102
R12,svm,28,14,14,14,7,7,0.5,1,6,1,6,S102
R04,svm,30,15,15,15,7,8,0.7333333333333333,5,2,2,6,S103
R08,svm,30,15,14,16,8,7,0.3333333333333333,3,5,5,2,S103
R12,svm,30,15,15,15,7,8,0.6,6,1,5,3,S103
R04,svm,27,15,14,13,7,8,0.7333333333333333,7,0,4,4,S104
R08,svm,30,12,15,15,6,6,0.6666666666666666,4,2,2,4,S104
R12,svm,27,15,13,14,8,7,0.4666666666666667,6,2,6,1,S104
R04,svm,30,15,15,15,8,7,0.6,4,4,2,5,S105
R08,svm,30,15,16,14,7,8,0.6,3,4,2,6,S105
R12,svm,30,15,15,15,8,7,0.5333333333333333,2,6,1,6,S105
R04,svm,30,15,16,14,8,7,0.6666666666666666,5,3,2,5,S106
R08,svm,30,15,16,14,8,7,0.6,4,4,2,5,S106
R12,svm,30,15,16,14,8,7,0.6,4,4,2,5,S106
R04,svm,30,15,16,14,8,7,0.5333333333333333,4,4,3,4,S107
R08,svm,30,15,16,14,8,7,0.5333333333333333,7,1,6,1,S107
R12,svm,30,15,16,14,8,7,0.5333333333333333,4,4,3,4,S107
R04,svm,30,15,15,15,7,8,0.6,7,0,6,2,S108
R08,svm,30,15,15,15,7,8,0.6,5,2,4,4,S108
R12,svm,30,15,14,16,8,7,0.7333333333333333,4,4,0,7,S108
R04,svm,30,15,16,14,7,8,0.5333333333333333,4,3,4,4,S109
R08,svm,30,15,15,15,8,7,0.3333333333333333,3,5,5,2,S109
R12,svm,30,15,15,15,8,7,0.6,8,0,6,1,S109
