subject_id,classifier,n_total_trials,n_left_trials,n_right_trials,mean_loso_accuracy,std_loso_accuracy,min_fold_accuracy,max_fold_accuracy
S029,svm,45,23,22,1.0,0.0,1.0,1.0
S007,svm,45,23,22,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0
S085,svm,45,23,22,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0
S072,svm,43,22,21,0.9523809523809524,0.0673435029701474,0.8571428571428571,1.0
S002,svm,45,23,22,0.9333333333333332,0.05443310539518172,0.8666666666666667,1.0
S062,svm,45,23,22,0.9111111111111111,0.12570787221094182,0.7333333333333333,1.0
S053,svm,45,22,23,0.9111111111111111,0.0831479419283098,0.8,1.0
S034,svm,43,21,22,0.9063492063492063,0.034848410158889155,0.8571428571428571,0.9333333333333333
S031,svm,45,22,23,0.8666666666666667,0.05443310539518172,0.8,0.9333333333333333
S056,svm,45,22,23,0.8666666666666667,0.14401645996461915,0.6666666666666666,1.0
S094,svm,45,22,23,0.8444444444444444,0.08314794192830985,0.7333333333333333,0.9333333333333333
S055,svm,45,23,22,0.8222222222222223,0.13698697784375505,0.6666666666666666,1.0
S060,svm,45,23,22,0.8222222222222223,0.08314794192830982,0.7333333333333333,0.9333333333333333
S035,svm,45,22,23,0.7777777777777777,0.03142696805273549,0.7333333333333333,0.8
S093,svm,45,23,22,0.7777777777777777,0.03142696805273549,0.7333333333333333,0.8
S042,svm,45,22,23,0.7555555555555555,0.1911627837120584,0.5333333333333333,1.0
S054,svm,45,23,22,0.7333333333333334,0.05443310539518177,0.6666666666666666,0.8
S052,svm,45,24,21,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
S022,svm,45,22,23,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
S026,svm,45,24,21,0.7111111111111111,0.13698697784375505,0.5333333333333333,0.8666666666666667
S033,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S045,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S027,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S089,svm,45,24,21,0.688888888888889,0.11331154474650634,0.5333333333333333,0.8
S061,svm,45,22,23,0.688888888888889,0.11331154474650634,0.5333333333333333,0.8
S043,svm,45,23,22,0.6888888888888888,0.17497795275581804,0.5333333333333333,0.9333333333333333
S032,svm,45,21,24,0.6888888888888888,0.08314794192830983,0.6,0.8
S069,svm,45,24,21,0.6666666666666666,0.05443310539518172,0.6,0.7333333333333333
S071,svm,45,22,23,0.6666666666666666,0.10886621079036349,0.5333333333333333,0.8
S048,svm,45,22,23,0.6444444444444444,0.03142696805273544,0.6,0.6666666666666666
S097,svm,45,23,22,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S070,svm,45,22,23,0.6444444444444444,0.0831479419283098,0.5333333333333333,0.7333333333333333
S051,svm,45,24,21,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S108,svm,45,22,23,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S074,svm,43,22,21,0.6285714285714286,0.06172133998483679,0.5714285714285714,0.7142857142857143
S063,svm,45,22,23,0.6222222222222222,0.06285393610547088,0.5333333333333333,0.6666666666666666
S025,svm,45,22,23,0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666
S016,svm,45,22,23,0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666
S015,svm,45,23,22,0.6222222222222222,0.12570787221094182,0.5333333333333333,0.8
S075,svm,45,22,23,0.6222222222222222,0.13698697784375505,0.4666666666666667,0.8
S104,svm,42,21,21,0.6222222222222222,0.1133115447465063,0.4666666666666667,0.7333333333333333
S106,svm,45,24,21,0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666
S064,svm,44,23,21,0.6111111111111112,0.13425606637327306,0.5,0.8
S065,svm,45,24,21,0.6,0.09428090415820632,0.4666666666666667,0.6666666666666666
S099,svm,45,22,23,0.6,0.05443310539518172,0.5333333333333333,0.6666666666666666
S050,svm,45,23,22,0.6,0.10886621079036345,0.4666666666666667,0.7333333333333333
S049,svm,45,23,22,0.6,0.09428090415820632,0.4666666666666667,0.6666666666666666
S001,svm,45,23,22,0.6,0.09428090415820632,0.4666666666666667,0.6666666666666666
S014,svm,45,22,23,0.6,0.0,0.6,0.6
S038,svm,45,23,22,0.6,0.05443310539518172,0.5333333333333333,0.6666666666666666
S012,svm,45,21,24,0.6,0.09428090415820632,0.5333333333333333,0.7333333333333333
S010,svm,45,24,21,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S080,svm,45,23,22,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S083,svm,45,22,23,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S024,svm,45,22,23,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S084,svm,45,23,22,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S011,svm,45,23,22,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S040,svm,45,21,24,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S105,svm,45,23,22,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S090,svm,45,22,23,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S020,svm,45,23,22,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S087,svm,45,22,23,0.5555555555555555,0.16629588385661961,0.3333333333333333,0.7333333333333333
S098,svm,45,23,22,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S103,svm,45,22,23,0.5555555555555555,0.16629588385661961,0.3333333333333333,0.7333333333333333
S005,svm,45,21,24,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S081,svm,45,22,23,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S013,svm,45,23,22,0.5555555555555555,0.12570787221094176,0.4666666666666667,0.7333333333333333
S047,svm,45,24,21,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S078,svm,45,23,22,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S039,svm,45,23,22,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S058,svm,45,24,21,0.5555555555555555,0.1133115447465063,0.4,0.6666666666666666
S044,svm,45,22,23,0.5555555555555555,0.06285393610547088,0.4666666666666667,0.6
S008,svm,45,22,23,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S086,svm,45,22,23,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S091,svm,45,22,23,0.5333333333333333,0.10886621079036345,0.4,0.6666666666666666
S068,svm,45,22,23,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S003,svm,45,23,22,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S107,svm,45,24,21,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333
S095,svm,45,23,22,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S023,svm,45,22,23,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S004,svm,45,23,22,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S082,svm,45,23,22,0.5111111111111111,0.0831479419283098,0.4,0.6
S006,svm,45,24,21,0.5111111111111111,0.03142696805273544,0.4666666666666667,0.5333333333333333
S017,svm,45,23,22,0.5111111111111111,0.0831479419283098,0.4,0.6
S057,svm,45,24,21,0.5111111111111111,0.03142696805273544,0.4666666666666667,0.5333333333333333
S041,svm,44,23,21,0.5,0.02721655269759086,0.4666666666666667,0.5333333333333333
S073,svm,42,21,21,0.5,0.11664236870396087,0.35714285714285715,0.6428571428571429
S109,svm,45,23,22,0.48888888888888893,0.11331154474650633,0.3333333333333333,0.6
S101,svm,45,22,23,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S030,svm,45,24,21,0.48888888888888893,0.0831479419283098,0.4,0.6
S079,svm,45,22,23,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S046,svm,45,23,22,0.48888888888888893,0.0831479419283098,0.4,0.6
S077,svm,45,21,24,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S037,svm,43,22,21,0.48888888888888893,0.01571348402636772,0.4666666666666667,0.5
S059,svm,45,24,21,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S096,svm,45,23,22,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S028,svm,45,22,23,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S066,svm,45,22,23,0.4666666666666666,5.551115123125783e-17,0.4666666666666667,0.4666666666666667
S067,svm,45,22,23,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S102,svm,42,21,21,0.4523809523809524,0.0336717514850737,0.42857142857142855,0.5
S076,svm,42,21,21,0.4523809523809524,0.06734350297014738,0.35714285714285715,0.5
S009,svm,45,24,21,0.4444444444444445,0.03142696805273544,0.4,0.4666666666666667
S021,svm,45,24,21,0.4444444444444445,0.03142696805273544,0.4,0.4666666666666667
S019,svm,45,23,22,0.4444444444444445,0.03142696805273544,0.4,0.4666666666666667
S036,svm,45,23,22,0.4444444444444444,0.08314794192830982,0.3333333333333333,0.5333333333333333
S018,svm,45,22,23,0.4222222222222222,0.03142696805273544,0.4,0.4666666666666667
